,product_id,fit,sustainable,product_name,product_price,color_name,style_id,color_id,scrapy_datetime,size_number,size_model,cotton,polyester,elastane,elasterell
64,751994003,slim_fit,,slim_jeans,13.99,light_denim_blue,751994,3,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
65,751994004,slim_fit,,slim_jeans,16.99,dark_denim_blue,751994,4,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
66,751994005,slim_fit,,slim_jeans,20.99,dark_blue,751994,5,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
67,751994006,slim_fit,,slim_jeans,14.99,denim_blue,751994,6,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
68,751994007,slim_fit,,slim_jeans,22.99,black_washed_out,751994,7,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
69,751994009,slim_fit,,slim_jeans,29.99,dark_blue_denim,751994,9,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
70,751994010,slim_fit,,slim_jeans,29.99,dark_gray,751994,10,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
71,751994014,slim_fit,,slim_jeans,17.99,light_gray,751994,14,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
72,751994016,slim_fit,,slim_jeans,15.99,dark_blue,751994,16,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
73,751994017,slim_fit,,slim_jeans,16.99,dark_denim_blue,751994,17,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
74,751994018,slim_fit,,slim_jeans,29.99,denim_blue,751994,18,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
75,751994024,slim_fit,,slim_jeans,29.99,black_denim,751994,24,2021-10-09 11:57:22,187,31/32,0.98,0.0,0.02,0.0
76,751994034,slim_fit,,slim_jeans,29.99,dark_blue,751994,34,2021-10-09 11:57:22,189,32/32,0.99,0.0,0.01,0.0
77,1004199003,skinny_fit,,skinny_cropped_jeans,29.99,denim_blue,1004199,3,2021-10-09 11:57:22,,,0.99,0.0,0.01,0.0
78,1004199001,skinny_fit,,skinny_cropped_jeans,29.99,light_denim_blue,1004199,1,2021-10-09 11:57:22,,,0.99,0.0,0.01,0.0
79,1004199002,skinny_fit,,skinny_cropped_jeans,29.99,black,1004199,2,2021-10-09 11:57:22,187,,0.99,0.0,0.01,0.0
80,730863005,skinny_fit,,skinny_jeans,29.99,light_denim_blue,730863,5,2021-10-09 11:57:22,,,0.99,0.0,0.01,0.0
81,730863002,skinny_fit,,skinny_jeans,14.99,denim_blue_washed_out,730863,2,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
82,730863003,skinny_fit,,skinny_jeans,20.99,black_washed_out,730863,3,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
83,730863004,skinny_fit,,skinny_jeans,14.99,dark_denim_blue,730863,4,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
84,730863007,skinny_fit,,skinny_jeans,16.99,denim_blue,730863,7,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
85,730863008,skinny_fit,,skinny_jeans,17.99,light_gray,730863,8,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
86,730863009,skinny_fit,,skinny_jeans,10.99,dark_blue,730863,9,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
87,730863010,skinny_fit,,skinny_jeans,9.99,denim_blue,730863,10,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
88,730863011,skinny_fit,,skinny_jeans,14.99,white,730863,11,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
89,730863012,skinny_fit,,skinny_jeans,18.99,denim_blue,730863,12,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
90,730863014,skinny_fit,,skinny_jeans,19.99,gray_denim,730863,14,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
91,730863017,skinny_fit,,skinny_jeans,22.99,light_denim_blue,730863,17,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
92,730863018,skinny_fit,,skinny_jeans,13.99,black_washed-out,730863,18,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
93,730863027,skinny_fit,,skinny_jeans,21.99,black_washed_out,730863,27,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
94,730863033,skinny_fit,,skinny_jeans,29.99,black_no_fade_black,730863,33,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
95,730863038,skinny_fit,,skinny_jeans,17.99,denim_blue,730863,38,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
96,730863039,skinny_fit,,skinny_jeans,15.99,blue,730863,39,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
97,730863040,skinny_fit,,skinny_jeans,29.99,denim_blue,730863,40,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
98,730863043,skinny_fit,,skinny_jeans,18.99,graphite_gray,730863,43,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
99,974202001,regular_fit,,regular_denim_joggers,29.99,light_denim_blue,974202,1,2021-10-09 11:57:22,187,,1.0,0.0,0.0,0.0
100,974202002,regular_fit,,regular_denim_joggers,29.99,denim_blue,974202,2,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
101,974202003,regular_fit,,regular_denim_joggers,29.99,black,974202,3,2021-10-09 11:57:22,187,,1.0,0.0,0.0,0.0
102,974597002,slim_fit,,slim_tapered_jeans,29.99,denim_blue,974597,2,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
103,974597001,slim_fit,,slim_tapered_jeans,29.99,denim_blue,974597,1,2021-10-09 11:57:22,186,31/32,1.0,0.0,0.0,0.0
104,974597003,slim_fit,,slim_tapered_jeans,29.99,black,974597,3,2021-10-09 11:57:22,,,0.98,0.0,0.02,0.0
105,974597005,slim_fit,,slim_tapered_jeans,29.99,light_denim_blue,974597,5,2021-10-09 11:57:22,187,32/32,0.99,0.0,0.01,0.0
106,875105015,relaxed_fit,Recycled cotton 20%,relaxed_jeans,29.99,light_denim_blue,875105,15,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
107,875105001,relaxed_fit,Recycled cotton 20%,relaxed_jeans,29.99,denim_blue,875105,1,2021-10-09 11:57:22,,,1.0,0.0,0.0,0.0
